customerID,Churn,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,Monthly,Total
0002-ORFBO,0,Female,0,1,1,9,1,No,DSL,No,Yes,No,Yes,Yes,No,One year,1,Mailed check,65.6,590.4
0003-MKNFE,0,Male,0,0,0,9,1,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,0,Mailed check,59.9,539.1
0004-TLHLJ,1,Male,0,0,0,4,1,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Electronic check,73.9,295.6
0011-IGKFF,1,Male,1,1,0,13,1,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,98.0,1274.0
0013-EXCHZ,1,Female,1,1,0,3,1,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,1,Mailed check,83.9,251.70000000000002
0013-MHZWF,0,Female,0,0,1,9,1,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,1,Credit card (automatic),69.4,624.6
0013-SMEOE,0,Female,1,1,0,71,1,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),109.7,7788.7
0014-BMAQU,0,Male,0,1,0,63,1,Yes,Fiber optic,Yes,No,No,Yes,No,No,Two year,1,Credit card (automatic),84.65,5332.950000000001
0015-UOCOJ,0,Female,1,0,0,7,1,No,DSL,Yes,No,No,No,No,No,Month-to-month,1,Electronic check,48.2,337.40000000000003
0016-QLJIS,0,Female,0,1,1,65,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Mailed check,90.45,5879.25
0017-DINOC,0,Male,0,0,0,54,0,No phone service,DSL,Yes,No,No,Yes,Yes,No,Two year,0,Credit card (automatic),45.2,2440.8
0017-IUDMW,0,Female,0,1,1,72,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),116.8,8409.6
0018-NYROU,0,Female,0,1,0,5,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,68.95,344.75
0019-EFAEP,0,Female,0,0,0,72,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,1,Bank transfer (automatic),101.3,7293.599999999999
0019-GFNTW,0,Female,0,0,0,56,0,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Two year,0,Bank transfer (automatic),45.05,2522.7999999999997
0020-INWCK,0,Female,0,1,1,71,1,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,1,Credit card (automatic),95.75,6798.25
0020-JDNXP,0,Female,0,1,1,34,0,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,0,Mailed check,61.25,2082.5
0021-IKXGC,0,Female,1,0,0,1,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,72.1,72.1
0022-TCJCI,1,Male,1,0,0,45,1,No,DSL,Yes,No,Yes,No,No,Yes,One year,0,Credit card (automatic),62.7,2821.5
0023-HGHWL,1,Male,1,0,0,1,0,No phone service,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,25.1,25.1
0023-UYUPN,0,Female,1,1,0,50,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Electronic check,25.2,1260.0
0023-XUOPT,1,Female,0,1,0,13,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,0,Electronic check,94.1,1223.3
0027-KWYKW,0,Female,0,1,1,23,1,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,1,Electronic check,83.75,1926.25
0030-FNXPP,0,Female,0,0,0,3,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.85,59.550000000000004
0031-PVLZI,1,Female,0,1,1,4,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,20.35,81.4
0032-PGELS,1,Female,0,1,1,1,0,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,0,Bank transfer (automatic),30.5,30.5
0036-IHMOT,0,Female,0,1,1,55,1,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,1,Bank transfer (automatic),103.7,5703.5
0040-HALCW,0,Male,0,1,1,54,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),20.4,1101.6
0042-JVWOJ,0,Male,0,0,0,26,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,1,Bank transfer (automatic),19.6,509.6
0042-RLHYP,0,Female,0,1,1,69,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),19.7,1359.3
0048-LUMLS,0,Male,0,1,1,37,1,No,Fiber optic,No,No,No,No,Yes,Yes,One year,0,Credit card (automatic),91.2,3374.4
0048-PIHNL,0,Female,0,1,0,49,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Bank transfer (automatic),20.45,1002.05
0052-DCKON,0,Male,0,1,0,66,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,0,Bank transfer (automatic),115.8,7642.8
0052-YNYOT,0,Female,0,0,0,67,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Electronic check,20.55,1376.8500000000001
0056-EPFBG,0,Male,0,1,1,20,0,No phone service,DSL,Yes,No,Yes,Yes,No,No,Two year,1,Credit card (automatic),39.4,788.0
0057-QBUQH,0,Female,0,0,1,43,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Electronic check,25.1,1079.3
0058-EVZWM,0,Female,0,1,0,55,1,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,1,Bank transfer (automatic),89.8,4939.0
0060-FUALY,0,Female,0,1,0,59,1,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,1,Electronic check,94.75,5590.25
0064-SUDOG,0,Female,0,1,1,12,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Bank transfer (automatic),20.3,243.60000000000002
0064-YIJGF,0,Male,0,1,1,27,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),75.75,2045.25
0067-DKWBL,1,Male,1,0,0,2,1,No,DSL,Yes,No,No,No,No,No,Month-to-month,1,Electronic check,49.25,98.5
0068-FIGTF,0,Female,0,0,0,27,1,No,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,0,Mailed check,78.2,2111.4
0071-NDAFP,0,Male,0,1,1,25,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Credit card (automatic),25.5,637.5
0074-HDKDG,0,Male,0,1,1,25,1,No,DSL,Yes,Yes,Yes,No,No,No,One year,1,Bank transfer (automatic),61.6,1540.0
0076-LVEPS,0,Male,0,0,1,29,0,No phone service,DSL,Yes,Yes,Yes,Yes,No,No,Month-to-month,1,Mailed check,45.0,1305.0
0078-XZMHT,0,Male,0,1,0,72,1,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),85.15,6130.8
0080-EMYVY,0,Female,0,0,0,14,1,No,DSL,No,Yes,No,No,No,No,One year,0,Credit card (automatic),51.45,720.3000000000001
0080-OROZO,0,Female,0,0,0,35,1,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,1,Electronic check,99.25,3473.75
0082-LDZUE,0,Male,0,0,0,1,1,No,DSL,No,No,No,No,No,No,Month-to-month,1,Mailed check,44.3,44.3
0082-OQIQY,0,Male,0,0,0,29,1,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,1,Electronic check,94.2,2731.8
0083-PIVIK,0,Male,0,0,0,64,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,0,Electronic check,81.25,5200.0
0089-IIQKO,0,Female,0,1,1,39,1,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,1,Credit card (automatic),99.95,3898.05
0093-EXYQL,0,Female,1,0,0,40,1,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,91.55,3662.0
0093-XWZFY,1,Male,0,0,0,40,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),104.5,4180.0
0094-OIFMO,1,Female,1,0,0,11,1,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Electronic check,95.0,1045.0
0096-BXERS,0,Female,0,1,0,6,1,Yes,DSL,No,No,No,No,No,No,Month-to-month,0,Electronic check,50.35,302.1
0096-FCPUF,0,Male,0,0,0,30,1,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,1,Mailed check,64.5,1935.0
0098-BOWSO,0,Male,0,0,0,27,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,19.4,523.8
0100-DUVFC,0,Male,1,1,0,70,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,1,Electronic check,104.8,7336.0
0103-CSITQ,0,Female,0,1,0,57,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,1,Bank transfer (automatic),109.4,6235.8
0104-PPXDV,0,Male,0,1,0,58,1,No,DSL,No,No,Yes,No,No,No,One year,0,Credit card (automatic),50.3,2917.3999999999996
0106-GHRQR,0,Male,0,0,0,16,1,Yes,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,1,Bank transfer (automatic),71.4,1142.4
0106-UGRDO,0,Female,0,1,0,69,1,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Electronic check,116.0,8004.0
0107-WESLM,1,Male,0,0,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Electronic check,19.85,19.85
0107-YHINA,1,Male,0,0,1,1,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,99.75,99.75
0111-KLBQG,0,Male,1,1,1,32,1,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,1,Mailed check,93.95,3006.4
0112-QAWRZ,0,Male,0,1,1,16,1,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,1,Bank transfer (automatic),90.8,1452.8
0112-QWPNC,1,Male,0,1,0,49,1,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,0,Electronic check,84.35,4133.15
0114-IGABW,0,Female,0,1,0,71,0,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,0,Bank transfer (automatic),58.25,4135.75
0114-PEGZZ,0,Female,0,0,0,33,1,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,0,Electronic check,107.55,3549.15
0114-RSRRW,0,Female,0,1,0,10,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,1,Bank transfer (automatic),19.95,199.5
0115-TFERT,1,Male,0,1,0,21,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,111.2,2335.2000000000003
0117-LFRMW,1,Male,0,1,1,37,0,No phone service,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,0,Bank transfer (automatic),40.2,1487.4
0118-JPNOY,0,Female,1,0,0,26,1,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,1,Credit card (automatic),85.8,2230.7999999999997
0121-SNYRK,0,Male,0,0,0,50,0,No phone service,DSL,Yes,No,No,Yes,No,No,One year,1,Mailed check,35.4,1770.0
0122-OAHPZ,1,Female,0,0,0,7,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,73.85,516.9499999999999
0123-CRBRT,0,Female,0,1,1,61,1,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,0,Mailed check,88.1,5374.099999999999
0125-LZQXK,1,Male,0,0,0,15,1,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,1,Electronic check,101.35,1520.25
